iter	Logloss
302	0.2995201824
303	0.2992598941
304	0.2986641513
305	0.2982811215
306	0.2979064877
307	0.2972583325
308	0.2967980562
309	0.2963496879
310	0.2958078045
311	0.2954363714
312	0.2950072725
313	0.2948617589
314	0.2944039446
315	0.2940167798
316	0.2937049553
317	0.293070736
318	0.2927759866
319	0.2924061048
320	0.291973914
321	0.2915491082
322	0.2911168092
323	0.290638549
324	0.2902485756
325	0.2895081076
326	0.2887094534
327	0.2881594887
328	0.2877698867
329	0.2871589952
330	0.2866834076
331	0.2861898888
332	0.2856904374
333	0.2854889274
334	0.2851791083
335	0.2848043344
336	0.2843339707
337	0.2838985356
338	0.2834542495
339	0.282856883
340	0.2823354995
341	0.2819247
342	0.2816135126
343	0.2813118081
344	0.2809263871
345	0.2806195812
346	0.2802221302
347	0.2798584958
348	0.2794598677
349	0.2789477967
350	0.2785874247
351	0.2780075381
352	0.2777070123
353	0.2769445578
354	0.2765756244
355	0.276237998
356	0.275876134
357	0.2755353743
358	0.2751464542
359	0.2747201344
360	0.2743849392
361	0.274108033
362	0.2738806659
363	0.2734669501
364	0.2732161053
365	0.2727710689
366	0.2723296891
367	0.2717533327
368	0.2713889724
369	0.2709719245
370	0.2705136415
371	0.270230453
372	0.269751326
373	0.2692306759
374	0.2687108014
375	0.2685168661
376	0.2681751573
377	0.2677776405
378	0.2674050733
379	0.266925162
380	0.2666045739
381	0.2662231955
382	0.2658955395
383	0.265618338
384	0.2652814846
385	0.2650885226
386	0.264735086
387	0.2644523719
388	0.2637894149
389	0.2634761766
390	0.2629831754
391	0.2623271629
392	0.2618913582
393	0.2612882428
394	0.2608454893
395	0.2603698111
396	0.2600409876
397	0.2596177433
398	0.2593375165
399	0.2591110082
400	0.2588401184
401	0.2584623072
402	0.2579284209
403	0.2576359325
404	0.2572529106
405	0.2567377285
406	0.256475262
407	0.2563556423
408	0.2559933625
409	0.255701746
410	0.2554350446
411	0.2549848683
412	0.2546261666
413	0.2542677068
414	0.2538291058
415	0.2533844298
416	0.2530329033
417	0.2528418434
418	0.2521756731
419	0.251730732
420	0.2515930747
421	0.2513537686
422	0.2509220969
423	0.2505242547
424	0.2500488781
425	0.2496324134
426	0.2494658597
427	0.2490433834
428	0.2487273484
429	0.2483286011
430	0.2480329966
431	0.2477573518
432	0.2474578787
433	0.2471198715
434	0.2468221578
435	0.2466277486
436	0.2461944135
437	0.2459504793
438	0.245458902
439	0.2448675345
440	0.2446579151
441	0.2443087185
442	0.243964679
443	0.243386331
444	0.2430512383
445	0.242564524
446	0.2422614229
447	0.2419471385
448	0.2416639366
449	0.2412402135
450	0.2408389127
451	0.2406474603
452	0.2400602863
453	0.2397855926
454	0.2392781408
455	0.2390269071
456	0.2384479157
457	0.2382143257
458	0.2377822932
459	0.2372565718
460	0.2366954757
461	0.2364323167
462	0.2359936064
463	0.2352015053
464	0.2349294603
465	0.2344585632
466	0.2338637584
467	0.2335079307
468	0.2331749309
469	0.2328139571
470	0.2324521396
471	0.2320574096
472	0.2319709567
473	0.2316326264
474	0.2313135604
475	0.2310597075
476	0.2306399825
477	0.2304188786
478	0.2300333752
479	0.2296280589
480	0.2293383096
481	0.2286986696
482	0.2284001425
483	0.2278778552
484	0.2274675707
485	0.2273220752
486	0.2272988012
487	0.227047157
488	0.2267434673
489	0.2263321377
490	0.2260668111
491	0.2258809437
492	0.2256930183
493	0.2253839874
494	0.2251284053
495	0.2248673896
496	0.2246255428
497	0.2245363249
498	0.2242897137
499	0.2242035186
