iter	Logloss
0	0.6888695384
1	0.6825246994
2	0.6780756302
3	0.6745378075
4	0.6696049946
5	0.6664080928
6	0.6619547245
7	0.6581254276
8	0.653851775
9	0.6510408452
10	0.647968363
11	0.6438852945
12	0.6405101533
13	0.6370628339
14	0.6321258167
15	0.6291109838
16	0.6266016681
17	0.6232583085
18	0.6195811351
19	0.6159932641
20	0.6130902885
21	0.6098616308
22	0.607109437
23	0.6039830802
24	0.6009108149
25	0.5982173232
26	0.5952477122
27	0.5922890359
28	0.590406653
29	0.5873259599
30	0.5841954107
31	0.5816425084
32	0.5790432487
33	0.5773844392
34	0.5749119536
35	0.5715591863
36	0.568188164
37	0.5657268205
38	0.5624097576
39	0.5593292924
40	0.5565312362
41	0.5544170469
42	0.5519316137
43	0.5498603204
44	0.5475981187
45	0.5452451559
46	0.5429878326
47	0.5404737939
48	0.5383198751
49	0.5361829065
50	0.534371091
51	0.5322001549
52	0.5297264554
53	0.5278266376
54	0.5254400634
55	0.5235930085
56	0.5220245589
57	0.5205958549
58	0.5189349692
59	0.516377469
60	0.5145956769
61	0.5127128343
62	0.5103191425
63	0.5085268361
64	0.5059984471
65	0.5047353325
66	0.5029114039
67	0.5001533885
68	0.4985269543
69	0.4964893088
70	0.4945876272
71	0.4926945871
72	0.4904044273
73	0.4892874401
74	0.4881766476
75	0.4864811521
76	0.4853318817
77	0.4842213642
78	0.4822671904
79	0.4806467838
80	0.4792287474
81	0.477833356
82	0.4764338429
83	0.4738760807
84	0.4722913906
85	0.4706301116
86	0.4691982156
87	0.4676700471
88	0.4660440229
89	0.4645656613
90	0.4627760871
91	0.4608790314
92	0.4593198847
93	0.4576711493
94	0.456679116
95	0.4558032611
96	0.4540079931
97	0.4522619976
98	0.4510510934
99	0.4503017869
100	0.4487443997
101	0.447464034
102	0.4463017949
103	0.4452547759
104	0.4443521895
105	0.4424539819
106	0.4409149007
107	0.4395194383
108	0.4380186237
109	0.4366672993
110	0.4358257852
111	0.4345402861
112	0.4333520949
113	0.4323692074
114	0.4308461612
115	0.4294292936
116	0.4285614029
117	0.4275691557
118	0.426431537
119	0.4253002759
120	0.424596816
121	0.4234787198
122	0.4220684732
123	0.4212817205
124	0.420283181
125	0.4193329978
126	0.417938064
127	0.4172017951
128	0.416403535
129	0.41539312
130	0.4143101623
131	0.4134167374
132	0.4127291361
133	0.4116906349
134	0.410377244
135	0.4096752699
136	0.4087879153
137	0.4078547283
138	0.4066045767
139	0.4058942465
140	0.4042436453
141	0.4030148553
142	0.4019904431
143	0.4007944721
144	0.3995366166
145	0.3987763962
146	0.3977769033
147	0.3971287632
148	0.3961262639
149	0.3952852991
150	0.3946263404
151	0.3939443561
152	0.3930131497
153	0.3922903756
154	0.3912655988
155	0.3904468521
156	0.389664362
157	0.3886162367
158	0.3877466496
159	0.3868792532
160	0.3860759313
161	0.3853878021
162	0.3838971302
163	0.3829402946
164	0.3822486297
165	0.3813588087
166	0.3803097394
167	0.3793595565
168	0.3785984774
169	0.3777894966
170	0.3768083133
171	0.3761103151
172	0.3755105561
173	0.3751704391
174	0.3748097358
175	0.3742427404
176	0.3736893259
177	0.3729521819
178	0.3723927111
179	0.3715772642
180	0.3712772002
181	0.3704055646
182	0.369764207
183	0.3688875042
184	0.3683174057
185	0.3675929264
186	0.3668348865
187	0.3662340133
188	0.3653931002
189	0.3649008587
190	0.3639639083
191	0.3629705186
192	0.3620722594
193	0.3617235368
194	0.3611948048
195	0.3600663649
196	0.3592971402
197	0.3585909094
198	0.3577111173
199	0.3571386627
200	0.3566551429
201	0.3558334582
202	0.3550971323
203	0.3542859495
204	0.3536898
205	0.3530654839
206	0.3525327273
207	0.3512091419
208	0.3504207326
209	0.3496439773
210	0.3492016546
211	0.3488129953
212	0.3484982006
213	0.3477370628
214	0.3471387442
215	0.3465956568
216	0.3458228574
217	0.3451956801
218	0.3442448137
219	0.3437952613
220	0.3429560921
221	0.3421956361
222	0.3417187545
223	0.3411562001
224	0.3406438684
225	0.3399927227
226	0.3393640437
227	0.3387746453
228	0.3381801706
229	0.3373984829
230	0.3369158217
231	0.336393672
232	0.3360021915
233	0.3356735832
234	0.3353085736
235	0.3348274094
236	0.3340534398
237	0.3334588851
238	0.3331158681
239	0.3325397675
240	0.331719402
241	0.3311913364
242	0.3307538762
243	0.330180368
244	0.3294326455
245	0.3287355308
246	0.3278500043
247	0.3270433506
248	0.3264358437
249	0.3257687806
250	0.3250925321
251	0.3246219047
252	0.3238144355
253	0.3234506642
254	0.3227760437
255	0.3221720227
256	0.3215470497
257	0.3212246911
258	0.3208907712
259	0.3203247415
260	0.3195639253
261	0.3188633039
262	0.3183510064
263	0.3177267631
264	0.3173634913
265	0.3170033409
266	0.3163971113
267	0.3156555902
268	0.3151120913
269	0.3148674487
270	0.31446086
271	0.3141593324
272	0.3137499528
273	0.3130868602
274	0.3126724463
275	0.3121915879
276	0.3114977471
277	0.3110606377
278	0.3104410585
279	0.3101034569
280	0.3097724078
281	0.3094252227
282	0.3088838401
283	0.308159612
284	0.3075929104
285	0.3070805817
286	0.3067059037
287	0.3061083714
288	0.3055502041
289	0.3053025069
290	0.304836599
291	0.3045347747
292	0.3041363878
293	0.3038160394
294	0.3034124416
295	0.3028224272
296	0.3023825408
297	0.3019138865
298	0.3014536431
299	0.3011846625
300	0.30062628
301	0.2998786342
